id_const,territorio,id_tiempo,tipo,unidad,valor
382,Aragón,201211,Mercantiles,Número de Sociedades,146
383,Aragón,201210,Mercantiles,Número de Sociedades,161
384,Aragón,201209,Mercantiles,Número de Sociedades,137
385,Aragón,201208,Mercantiles,Número de Sociedades,131
386,Aragón,201207,Mercantiles,Número de Sociedades,175
387,Aragón,201206,Mercantiles,Número de Sociedades,172
388,Aragón,201205,Mercantiles,Número de Sociedades,186
389,Aragón,201204,Mercantiles,Número de Sociedades,155
390,Aragón,201203,Mercantiles,Número de Sociedades,215
391,Aragón,201202,Mercantiles,Número de Sociedades,187
392,Aragón,201201,Mercantiles,Número de Sociedades,151
393,Aragón,201112,Mercantiles,Número de Sociedades,131
394,Aragón,201111,Mercantiles,Número de Sociedades,165
395,Aragón,201110,Mercantiles,Número de Sociedades,114
396,Aragón,201109,Mercantiles,Número de Sociedades,124
397,Aragón,201108,Mercantiles,Número de Sociedades,127
398,Aragón,201107,Mercantiles,Número de Sociedades,117
399,Aragón,201106,Mercantiles,Número de Sociedades,165
400,Aragón,201105,Mercantiles,Número de Sociedades,179
401,Aragón,201104,Mercantiles,Número de Sociedades,155
402,Aragón,201103,Mercantiles,Número de Sociedades,197
403,Aragón,201102,Mercantiles,Número de Sociedades,202
404,Aragón,201101,Mercantiles,Número de Sociedades,146
405,Aragón,201012,Mercantiles,Número de Sociedades,141
406,Aragón,201011,Mercantiles,Número de Sociedades,140
407,Aragón,201010,Mercantiles,Número de Sociedades,121
408,Aragón,201009,Mercantiles,Número de Sociedades,127
409,Aragón,201008,Mercantiles,Número de Sociedades,120
410,Aragón,201007,Mercantiles,Número de Sociedades,144
411,Aragón,201006,Mercantiles,Número de Sociedades,172
412,Aragón,201005,Mercantiles,Número de Sociedades,175
413,Aragón,201004,Mercantiles,Número de Sociedades,142
414,Aragón,201003,Mercantiles,Número de Sociedades,206
415,Aragón,201002,Mercantiles,Número de Sociedades,210
416,Aragón,201001,Mercantiles,Número de Sociedades,166
417,Aragón,200912,Mercantiles,Número de Sociedades,111
418,Aragón,200911,Mercantiles,Número de Sociedades,149
419,Aragón,200910,Mercantiles,Número de Sociedades,116
420,Aragón,200909,Mercantiles,Número de Sociedades,149
421,Aragón,200908,Mercantiles,Número de Sociedades,113
422,Aragón,200907,Mercantiles,Número de Sociedades,131
423,Aragón,200906,Mercantiles,Número de Sociedades,157
424,Aragón,200905,Mercantiles,Número de Sociedades,203
425,Aragón,200904,Mercantiles,Número de Sociedades,144
426,Aragón,200903,Mercantiles,Número de Sociedades,178
427,Aragón,200902,Mercantiles,Número de Sociedades,216
428,Aragón,200901,Mercantiles,Número de Sociedades,176
429,Aragón,200812,Mercantiles,Número de Sociedades,176
430,Aragón,200811,Mercantiles,Número de Sociedades,147
431,Aragón,200810,Mercantiles,Número de Sociedades,149
432,Aragón,200809,Mercantiles,Número de Sociedades,168
433,Aragón,200808,Mercantiles,Número de Sociedades,121
434,Aragón,200807,Mercantiles,Número de Sociedades,152
435,Aragón,200806,Mercantiles,Número de Sociedades,190
436,Aragón,200805,Mercantiles,Número de Sociedades,198
437,Aragón,200804,Mercantiles,Número de Sociedades,217
438,Aragón,200803,Mercantiles,Número de Sociedades,243
439,Aragón,200802,Mercantiles,Número de Sociedades,319
440,Aragón,200801,Mercantiles,Número de Sociedades,317
441,"Asturias, Principado de",202604,Mercantiles,Número de Sociedades,141
442,"Asturias, Principado de",202603,Mercantiles,Número de Sociedades,167
443,"Asturias, Principado de",202602,Mercantiles,Número de Sociedades,185
444,"Asturias, Principado de",202601,Mercantiles,Número de Sociedades,180
445,"Asturias, Principado de",202512,Mercantiles,Número de Sociedades,129
446,"Asturias, Principado de",202511,Mercantiles,Número de Sociedades,111
447,"Asturias, Principado de",202510,Mercantiles,Número de Sociedades,149
448,"Asturias, Principado de",202509,Mercantiles,Número de Sociedades,125
449,"Asturias, Principado de",202508,Mercantiles,Número de Sociedades,77
450,"Asturias, Principado de",202507,Mercantiles,Número de Sociedades,124
451,"Asturias, Principado de",202506,Mercantiles,Número de Sociedades,132
452,"Asturias, Principado de",202505,Mercantiles,Número de Sociedades,175
453,"Asturias, Principado de",202504,Mercantiles,Número de Sociedades,101
454,"Asturias, Principado de",202503,Mercantiles,Número de Sociedades,136
455,"Asturias, Principado de",202502,Mercantiles,Número de Sociedades,130
456,"Asturias, Principado de",202501,Mercantiles,Número de Sociedades,138
457,"Asturias, Principado de",202412,Mercantiles,Número de Sociedades,91
458,"Asturias, Principado de",202411,Mercantiles,Número de Sociedades,123
459,"Asturias, Principado de",202410,Mercantiles,Número de Sociedades,143
460,"Asturias, Principado de",202409,Mercantiles,Número de Sociedades,84
