id_dis,territorio,id_tiempo,razon,numero_sociedades
483,"Asturias, Principado de",202210,Voluntaria,28.0
484,"Asturias, Principado de",202209,Voluntaria,19.0
485,"Asturias, Principado de",202208,Voluntaria,19.0
486,"Asturias, Principado de",202207,Voluntaria,28.0
487,"Asturias, Principado de",202206,Voluntaria,20.0
488,"Asturias, Principado de",202205,Voluntaria,29.0
489,"Asturias, Principado de",202204,Voluntaria,24.0
490,"Asturias, Principado de",202203,Voluntaria,29.0
491,"Asturias, Principado de",202202,Voluntaria,22.0
492,"Asturias, Principado de",202201,Voluntaria,64.0
493,"Asturias, Principado de",202112,Voluntaria,60.0
494,"Asturias, Principado de",202111,Voluntaria,31.0
495,"Asturias, Principado de",202110,Voluntaria,29.0
496,"Asturias, Principado de",202109,Voluntaria,22.0
497,"Asturias, Principado de",202108,Voluntaria,14.0
498,"Asturias, Principado de",202107,Voluntaria,18.0
499,"Asturias, Principado de",202106,Voluntaria,25.0
500,"Asturias, Principado de",202105,Voluntaria,15.0
501,"Asturias, Principado de",202104,Voluntaria,25.0
502,"Asturias, Principado de",202103,Voluntaria,16.0
503,"Asturias, Principado de",202102,Voluntaria,43.0
504,"Asturias, Principado de",202101,Voluntaria,76.0
505,"Asturias, Principado de",202012,Voluntaria,30.0
506,"Asturias, Principado de",202011,Voluntaria,18.0
507,"Asturias, Principado de",202010,Voluntaria,16.0
508,"Asturias, Principado de",202009,Voluntaria,18.0
509,"Asturias, Principado de",202008,Voluntaria,16.0
510,"Asturias, Principado de",202007,Voluntaria,15.0
511,"Asturias, Principado de",202006,Voluntaria,12.0
512,"Asturias, Principado de",202005,Voluntaria,3.0
513,"Asturias, Principado de",202004,Voluntaria,5.0
514,"Asturias, Principado de",202003,Voluntaria,19.0
515,"Asturias, Principado de",202002,Voluntaria,27.0
516,"Asturias, Principado de",202001,Voluntaria,69.0
517,"Asturias, Principado de",201912,Voluntaria,43.0
518,"Asturias, Principado de",201911,Voluntaria,23.0
519,"Asturias, Principado de",201910,Voluntaria,23.0
520,"Asturias, Principado de",201909,Voluntaria,16.0
521,"Asturias, Principado de",201908,Voluntaria,14.0
522,"Asturias, Principado de",201907,Voluntaria,23.0
523,"Asturias, Principado de",201906,Voluntaria,16.0
524,"Asturias, Principado de",201905,Voluntaria,19.0
525,"Asturias, Principado de",201904,Voluntaria,21.0
526,"Asturias, Principado de",201903,Voluntaria,27.0
527,"Asturias, Principado de",201902,Voluntaria,41.0
528,"Asturias, Principado de",201901,Voluntaria,62.0
529,"Asturias, Principado de",201812,Voluntaria,43.0
530,"Asturias, Principado de",201811,Voluntaria,39.0
531,"Asturias, Principado de",201810,Voluntaria,32.0
532,"Asturias, Principado de",201809,Voluntaria,19.0
533,"Asturias, Principado de",201808,Voluntaria,15.0
534,"Asturias, Principado de",201807,Voluntaria,19.0
535,"Asturias, Principado de",201806,Voluntaria,17.0
536,"Asturias, Principado de",201805,Voluntaria,18.0
537,"Asturias, Principado de",201804,Voluntaria,24.0
538,"Asturias, Principado de",201803,Voluntaria,33.0
539,"Asturias, Principado de",201802,Voluntaria,47.0
540,"Asturias, Principado de",201801,Voluntaria,60.0
541,"Asturias, Principado de",201712,Voluntaria,40.0
