id_dis,id_tiempo,razon,numero_sociedades,id_territorio
464,202405,voluntaria,27,4
465,202404,voluntaria,22,4
466,202403,voluntaria,25,4
467,202402,voluntaria,39,4
468,202401,voluntaria,64,4
469,202312,voluntaria,53,4
470,202311,voluntaria,29,4
471,202310,voluntaria,30,4
472,202309,voluntaria,17,4
473,202308,voluntaria,18,4
474,202307,voluntaria,20,4
475,202306,voluntaria,22,4
476,202305,voluntaria,12,4
477,202304,voluntaria,13,4
478,202303,voluntaria,32,4
479,202302,voluntaria,34,4
480,202301,voluntaria,70,4
481,202212,voluntaria,54,4
482,202211,voluntaria,49,4
483,202210,voluntaria,28,4
484,202209,voluntaria,19,4
485,202208,voluntaria,19,4
486,202207,voluntaria,28,4
487,202206,voluntaria,20,4
488,202205,voluntaria,29,4
489,202204,voluntaria,24,4
490,202203,voluntaria,29,4
491,202202,voluntaria,22,4
492,202201,voluntaria,64,4
493,202112,voluntaria,60,4
494,202111,voluntaria,31,4
495,202110,voluntaria,29,4
496,202109,voluntaria,22,4
497,202108,voluntaria,14,4
498,202107,voluntaria,18,4
499,202106,voluntaria,25,4
500,202105,voluntaria,15,4
501,202104,voluntaria,25,4
502,202103,voluntaria,16,4
503,202102,voluntaria,43,4
504,202101,voluntaria,76,4
505,202012,voluntaria,30,4
506,202011,voluntaria,18,4
507,202010,voluntaria,16,4
508,202009,voluntaria,18,4
509,202008,voluntaria,16,4
510,202007,voluntaria,15,4
511,202006,voluntaria,12,4
512,202005,voluntaria,3,4
513,202004,voluntaria,5,4
514,202003,voluntaria,19,4
515,202002,voluntaria,27,4
516,202001,voluntaria,69,4
517,201912,voluntaria,43,4
518,201911,voluntaria,23,4
519,201910,voluntaria,23,4
520,201909,voluntaria,16,4
521,201908,voluntaria,14,4
522,201907,voluntaria,23,4
523,201906,voluntaria,16,4
524,201905,voluntaria,19,4
525,201904,voluntaria,21,4
526,201903,voluntaria,27,4
527,201902,voluntaria,41,4
528,201901,voluntaria,62,4
529,201812,voluntaria,43,4
530,201811,voluntaria,39,4
531,201810,voluntaria,32,4
532,201809,voluntaria,19,4
533,201808,voluntaria,15,4
534,201807,voluntaria,19,4
535,201806,voluntaria,17,4
536,201805,voluntaria,18,4
537,201804,voluntaria,24,4
538,201803,voluntaria,33,4
539,201802,voluntaria,47,4
540,201801,voluntaria,60,4
541,201712,voluntaria,40,4
542,201711,voluntaria,25,4
543,201710,voluntaria,25,4
544,201709,voluntaria,15,4
545,201708,voluntaria,14,4
546,201707,voluntaria,15,4
547,201706,voluntaria,23,4
548,201705,voluntaria,32,4
549,201704,voluntaria,15,4
550,201703,voluntaria,38,4
551,201702,voluntaria,43,4
552,201701,voluntaria,62,4
553,201612,voluntaria,46,4
554,201611,voluntaria,41,4
555,201610,voluntaria,27,4
556,201609,voluntaria,14,4
557,201608,voluntaria,14,4
558,201607,voluntaria,11,4
559,201606,voluntaria,20,4
560,201605,voluntaria,22,4
561,201604,voluntaria,27,4
562,201603,voluntaria,22,4
563,201602,voluntaria,29,4
564,201601,voluntaria,51,4
565,201512,voluntaria,43,4
566,201511,voluntaria,18,4
567,201510,voluntaria,15,4
568,201509,voluntaria,11,4
569,201508,voluntaria,14,4
570,201507,voluntaria,13,4
571,201506,voluntaria,19,4
572,201505,voluntaria,18,4
573,201504,voluntaria,23,4
574,201503,voluntaria,34,4
575,201502,voluntaria,26,4
576,201501,voluntaria,57,4
577,201412,voluntaria,41,4
578,201411,voluntaria,38,4
579,201410,voluntaria,22,4
580,201409,voluntaria,15,4
581,201408,voluntaria,17,4
582,201407,voluntaria,20,4
583,201406,voluntaria,3,4
584,201405,voluntaria,23,4
585,201404,voluntaria,17,4
586,201403,voluntaria,36,4
587,201402,voluntaria,27,4
588,201401,voluntaria,47,4
589,201312,voluntaria,45,4
590,201311,voluntaria,27,4
591,201310,voluntaria,46,4
592,201309,voluntaria,20,4
593,201308,voluntaria,19,4
594,201307,voluntaria,17,4
595,201306,voluntaria,17,4
596,201305,voluntaria,32,4
597,201304,voluntaria,33,4
598,201303,voluntaria,29,4
599,201302,voluntaria,40,4
600,201301,voluntaria,56,4
601,201212,voluntaria,41,4
602,201211,voluntaria,24,4
603,201210,voluntaria,27,4
604,201209,voluntaria,10,4
605,201208,voluntaria,17,4
606,201207,voluntaria,21,4
607,201206,voluntaria,20,4
608,201205,voluntaria,21,4
609,201204,voluntaria,24,4
610,201203,voluntaria,27,4
611,201202,voluntaria,29,4
612,201201,voluntaria,59,4
613,201112,voluntaria,29,4
614,201111,voluntaria,23,4
615,201110,voluntaria,19,4
616,201109,voluntaria,12,4
617,201108,voluntaria,15,4
618,201107,voluntaria,13,4
619,201106,voluntaria,13,4
620,201105,voluntaria,20,4
621,201104,voluntaria,9,4
622,201103,voluntaria,29,4
623,201102,voluntaria,28,4
624,201101,voluntaria,51,4
625,201012,voluntaria,40,4
626,201011,voluntaria,20,4
627,201010,voluntaria,20,4
628,201009,voluntaria,13,4
629,201008,voluntaria,10,4
630,201007,voluntaria,15,4
631,201006,voluntaria,12,4
632,201005,voluntaria,12,4
633,201004,voluntaria,21,4
634,201003,voluntaria,26,4
635,201002,voluntaria,35,4
636,201001,voluntaria,45,4
637,200912,voluntaria,42,4
638,200911,voluntaria,21,4
639,200910,voluntaria,17,4
640,200909,voluntaria,18,4
641,200908,voluntaria,18,4
642,200907,voluntaria,32,4
643,200906,voluntaria,24,4
644,200905,voluntaria,15,4
645,200904,voluntaria,18,4
646,200903,voluntaria,30,4
647,200902,voluntaria,46,4
648,200901,voluntaria,41,4
649,200812,voluntaria,25,4
650,200811,voluntaria,39,4
651,200810,voluntaria,30,4
652,200809,voluntaria,15,4
653,200808,voluntaria,8,4
654,200807,voluntaria,8,4
655,200806,voluntaria,8,4
656,200805,voluntaria,19,4
657,200804,voluntaria,25,4
658,200803,voluntaria,21,4
659,200802,voluntaria,42,4
660,200801,voluntaria,89,4
661,202604,voluntaria,67,5
662,202603,voluntaria,80,5
663,202602,voluntaria,93,5
664,202601,voluntaria,134,5
665,202512,voluntaria,149,5
666,202511,voluntaria,95,5
667,202510,voluntaria,101,5
668,202509,voluntaria,64,5
669,202508,voluntaria,40,5
670,202507,voluntaria,64,5
671,202506,voluntaria,72,5
672,202505,voluntaria,77,5
673,202504,voluntaria,59,5
674,202503,voluntaria,68,5
675,202502,voluntaria,100,5
676,202501,voluntaria,148,5
677,202412,voluntaria,117,5
678,202411,voluntaria,76,5
679,202410,voluntaria,70,5
680,202409,voluntaria,66,5
681,202408,voluntaria,69,5
682,202407,voluntaria,56,5
683,202406,voluntaria,55,5
684,202405,voluntaria,50,5
685,202404,voluntaria,66,5
686,202403,voluntaria,61,5
687,202402,voluntaria,106,5
688,202401,voluntaria,179,5
689,202312,voluntaria,97,5
690,202311,voluntaria,69,5
691,202310,voluntaria,71,5
692,202309,voluntaria,58,5
693,202308,voluntaria,44,5
694,202307,voluntaria,38,5
695,202306,voluntaria,58,5
696,202305,voluntaria,74,5
697,202304,voluntaria,65,5
698,202303,voluntaria,86,5
699,202302,voluntaria,103,5
700,202301,voluntaria,184,5
701,202212,voluntaria,128,5
702,202211,voluntaria,86,5
703,202210,voluntaria,69,5
704,202209,voluntaria,51,5
705,202208,voluntaria,58,5
706,202207,voluntaria,33,5
707,202206,voluntaria,60,5
708,202205,voluntaria,42,5
709,202204,voluntaria,56,5
710,202203,voluntaria,72,5
711,202202,voluntaria,103,5
712,202201,voluntaria,155,5
713,202112,voluntaria,120,5
714,202111,voluntaria,70,5
715,202110,voluntaria,63,5
716,202109,voluntaria,52,5
717,202108,voluntaria,46,5
718,202107,voluntaria,43,5
719,202106,voluntaria,55,5
720,202105,voluntaria,49,5
721,202104,voluntaria,52,5
722,202103,voluntaria,60,5
723,202102,voluntaria,109,5
724,202101,voluntaria,135,5
725,202012,voluntaria,114,5
726,202011,voluntaria,70,5
727,202010,voluntaria,58,5
728,202009,voluntaria,60,5
729,202008,voluntaria,50,5
730,202007,voluntaria,57,5
731,202006,voluntaria,45,5
732,202005,voluntaria,26,5
733,202004,voluntaria,31,5
734,202003,voluntaria,46,5
735,202002,voluntaria,67,5
736,202001,voluntaria,122,5
737,201912,voluntaria,112,5
738,201911,voluntaria,108,5
739,201910,voluntaria,69,5
740,201909,voluntaria,48,5
741,201908,voluntaria,51,5
742,201907,voluntaria,56,5
743,201906,voluntaria,59,5
744,201905,voluntaria,75,5
745,201904,voluntaria,36,5
746,201903,voluntaria,54,5
747,201902,voluntaria,87,5
748,201901,voluntaria,143,5
749,201812,voluntaria,90,5
750,201811,voluntaria,81,5
751,201810,voluntaria,72,5
752,201809,voluntaria,53,5
753,201808,voluntaria,50,5
754,201807,voluntaria,52,5
755,201806,voluntaria,38,5
756,201805,voluntaria,81,5
757,201804,voluntaria,56,5
758,201803,voluntaria,62,5
759,201802,voluntaria,128,5
760,201801,voluntaria,170,5
761,201712,voluntaria,102,5
762,201711,voluntaria,89,5
763,201710,voluntaria,57,5
764,201709,voluntaria,33,5
765,201708,voluntaria,58,5
766,201707,voluntaria,42,5
767,201706,voluntaria,58,5
768,201705,voluntaria,51,5
769,201704,voluntaria,46,5
770,201703,voluntaria,61,5
771,201702,voluntaria,74,5
772,201701,voluntaria,133,5
773,201612,voluntaria,129,5
774,201611,voluntaria,63,5
775,201610,voluntaria,45,5
776,201609,voluntaria,38,5
777,201608,voluntaria,25,5
778,201607,voluntaria,41,5
779,201606,voluntaria,37,5
780,201605,voluntaria,49,5
781,201604,voluntaria,35,5
782,201603,voluntaria,54,5
783,201602,voluntaria,81,5
784,201601,voluntaria,116,5
785,201512,voluntaria,85,5
786,201511,voluntaria,54,5
787,201510,voluntaria,38,5
788,201509,voluntaria,37,5
789,201508,voluntaria,34,5
790,201507,voluntaria,32,5
791,201506,voluntaria,44,5
792,201505,voluntaria,51,5
793,201504,voluntaria,31,5
794,201503,voluntaria,56,5
795,201502,voluntaria,69,5
796,201501,voluntaria,101,5
797,201412,voluntaria,64,5
798,201411,voluntaria,62,5
799,201410,voluntaria,39,5
800,201409,voluntaria,35,5
801,201408,voluntaria,27,5
802,201407,voluntaria,31,5
803,201406,voluntaria,43,5
804,201405,voluntaria,39,5
805,201404,voluntaria,31,5
806,201403,voluntaria,53,5
807,201402,voluntaria,69,5
808,201401,voluntaria,126,5
809,201312,voluntaria,82,5
810,201311,voluntaria,46,5
811,201310,voluntaria,41,5
812,201309,voluntaria,28,5
813,201308,voluntaria,32,5
814,201307,voluntaria,52,5
815,201306,voluntaria,41,5
816,201305,voluntaria,46,5
817,201304,voluntaria,56,5
818,201303,voluntaria,49,5
819,201302,voluntaria,71,5
820,201301,voluntaria,113,5
821,201212,voluntaria,93,5
822,201211,voluntaria,60,5
823,201210,voluntaria,50,5
824,201209,voluntaria,20,5
825,201208,voluntaria,41,5
826,201207,voluntaria,37,5
827,201206,voluntaria,39,5
828,201205,voluntaria,53,5
829,201204,voluntaria,29,5
830,201203,voluntaria,54,5
831,201202,voluntaria,45,5
832,201201,voluntaria,130,5
833,201112,voluntaria,90,5
834,201111,voluntaria,69,5
835,201110,voluntaria,45,5
836,201109,voluntaria,35,5
837,201108,voluntaria,35,5
838,201107,voluntaria,27,5
839,201106,voluntaria,37,5
840,201105,voluntaria,40,5
841,201104,voluntaria,43,5
842,201103,voluntaria,64,5
843,201102,voluntaria,64,5
844,201101,voluntaria,88,5
845,201012,voluntaria,69,5
846,201011,voluntaria,58,5
847,201010,voluntaria,38,5
848,201009,voluntaria,24,5
849,201008,voluntaria,38,5
850,201007,voluntaria,33,5
851,201006,voluntaria,38,5
852,201005,voluntaria,34,5
853,201004,voluntaria,43,5
854,201003,voluntaria,48,5
855,201002,voluntaria,61,5
856,201001,voluntaria,85,5
857,200912,voluntaria,81,5
858,200911,voluntaria,56,5
859,200910,voluntaria,48,5
860,200909,voluntaria,28,5
861,200908,voluntaria,29,5
862,200907,voluntaria,25,5
863,200906,voluntaria,39,5
864,200905,voluntaria,34,5
865,200904,voluntaria,36,5
866,200903,voluntaria,39,5
867,200902,voluntaria,50,5
868,200901,voluntaria,79,5
869,200812,voluntaria,70,5
870,200811,voluntaria,40,5
871,200810,voluntaria,40,5
872,200809,voluntaria,39,5
873,200808,voluntaria,27,5
874,200807,voluntaria,38,5
875,200806,voluntaria,26,5
